address,beds,showers,area,price,currency,url,source
5- Spintex Road,3 ,3 ,19 ,200000,$,https://listings.loopghana.com/listing/d3ob,loopghana
Oak Plus,3 ,3 ,133 ,125000,$,https://listings.loopghana.com/listing/c888,loopghana
Oak Tema Comm. 25,3 ,3 ,"1,431 ",107000,$,https://listings.loopghana.com/listing/c482,loopghana
